"indice";"id";"protocoloRN";"siglaTribunal";"grau";"grau_valido";"classeProcessual";"classeProcessual_valida";"numero";"numero_valido";"faseProcessual";"segmentoJustica";"assuntos";"assuntos_count";"assuntos_validos";"assuntos_invalidos";"assuntos_invalidos_count";"dataAjuizamento";"dataAjuizamento_parsed";"dataAjuizamento_valida";"millisInsercao";"millisInsercao_parsed";"orgaoJulgador_codigoOrgao";"orgaoJulgador_valido";"codigoLocalidade";"codigoLocalidade_valido";"nivelSigilo";"procEl";"procEl_valido";"dscSistema";"dscSistema_valido";"polo_at_count";"polo_at_fisica_count";"polo_at_fisica_documento_count";"polo_at_fisica_documento_valido_count";"polo_at_fisica_sem_nome_count";"polo_at_fisica_sem_sexo_count";"polo_at_fisica_sem_dataNascimento_count";"polo_at_fisica_sexo_array";"polo_at_juridica_count";"polo_at_juridica_documento_count";"polo_at_juridica_documento_valido_count";"polo_at_autoridade_count";"polo_at_orgaorepresentacao_count";"polo_pa_count";"polo_pa_fisica_count";"polo_pa_fisica_documento_count";"polo_pa_fisica_documento_valido_count";"polo_pa_fisica_sem_nome_count";"polo_pa_fisica_sem_sexo_count";"polo_pa_fisica_sem_dataNascimento_count";"polo_pa_fisica_sexo_array";"polo_pa_juridica_count";"polo_pa_juridica_documento_count";"polo_pa_juridica_documento_valido_count";"polo_pa_autoridade_count";"polo_pa_orgaorepresentacao_count";"polo_vi_count";"polo_vi_fisica_count";"polo_vi_juridica_count";"polo_vi_autoridade_count";"polo_vi_orgaorepresentacao_count";"mov_count";"mov_count_invalido";"mov_array_invalido";"mov_exige_complemento_count";"mov_exige_complemento_sem_complemento";"mov_exige_complemento_count_invalido";"mov_exige_complemento_array_invalido";"mov_dataHora_count_invalido";"mov_magistradoProlator_count";"mov_magistradoProlator_count_invalido";"mov_ultimo_nivel_count_invalido";"mov_ultimo_nivel_array_invalido";"mov_1st_recebimento_cod";"mov_1st_recebimento_descricao";"mov_1st_recebimento_complemento";"mov_1st_recebimento_dataHora";"mov_1st_recebimento_ano";"mov_1st_denuncia_queixa_cod";"mov_1st_denuncia_queixa_dataHora";"mov_1st_denuncia_queixa_ano";"mov_1st_julgamento_cod";"mov_1st_julgamento_descricao";"mov_1st_julgamento_dataHora";"mov_1st_julgamento_ano";"mov_1st_tree_385_cod";"mov_1st_tree_385_descricao";"mov_1st_tree_385_dataHora";"mov_1st_tree_385_ano";"mov_1st_baixa_cod";"mov_1st_baixa_descricao";"mov_1st_baixa_dataHora";"mov_1st_baixa_complemento";"mov_1st_baixa_ano";"mov_last_baixa_cod";"mov_last_baixa_descricao";"mov_last_baixa_dataHora";"mov_last_baixa_complemento";"mov_last_baixa_ano";"mov_1st_execucao_iniciada_cod";"mov_1st_execucao_iniciada_descricao";"mov_1st_execucao_iniciada_dataHora";"mov_1st_execucao_iniciada_complemento";"mov_1st_execucao_iniciada_classe_anterior";"mov_1st_execucao_iniciada_classe_nova";"mov_1st_homolog_revog_cod";"mov_1st_homolog_revog_descricao";"mov_1st_homolog_revog_dataHora";"mov_1st_homolog_revog_ano";"mov_1st_conc_deneg_cod";"mov_1st_conc_deneg_descricao";"mov_1st_conc_deneg_dataHora";"mov_1st_conc_deneg_ano";"mov_1st_decreta_falencia_cod";"mov_1st_decreta_falencia_descricao";"mov_1st_decreta_falencia_dataHora";"mov_1st_decreta_falencia_ano";"mov_last_sobrestamento_cod";"mov_last_sobrestamento_descricao";"mov_last_sobrestamento_dataHora";"mov_last_sobrestamento_ano";"mov_last_dessobrestamento_cod";"mov_last_dessobrestamento_descricao";"mov_last_dessobrestamento_dataHora";"mov_last_dessobrestamento_ano";"mov_last_mov_cod";"mov_last_mov_descricao";"mov_last_mov_dataHora";"mov_last_mov_ano";"mov_Sent_count";"mov_Sent_count_2018";"mov_Sent_count_2019";"mov_Sent_count_2020";"mov_Sent_count_2021";"mov_Sent_count_2022";"mov_Sent_array_data";"mov_Sent_homolog_count";"mov_Sent_homolog_count_2018";"mov_Sent_homolog_count_2019";"mov_Sent_homolog_count_2020";"mov_Sent_homolog_count_2021";"mov_Sent_homolog_count_2022";"mov_SentC_count";"mov_SentC_count_2018";"mov_SentC_count_2019";"mov_SentC_count_2020";"mov_SentC_count_2021";"mov_SentC_count_2022";"mov_SentC_array_data";"mov_Liminar_count";"mov_Liminar_count_2018";"mov_Liminar_count_2019";"mov_Liminar_count_2020";"mov_Liminar_count_2021";"mov_Liminar_count_2022";"mov_Audiencia_count";"mov_Audiencia_count_invalida";"mov_AudConc_count";"mov_AudConc_count_2018";"mov_AudConc_count_2019";"mov_AudConc_count_2020";"mov_AudConc_count_2021";"mov_AudConc_count_2022";"mov_AudConc_array_data";"mov_last_51_cod";"mov_last_51_descricao";"mov_last_51_dataHora";"mov_last_julgamento_cod";"mov_last_julgamento_descricao";"mov_last_julgamento_dataHora";"mov_1st_sessao_juri_cod";"mov_1st_sessao_juri_descricao";"mov_1st_sessao_juri_dataHora";"mov_1st_sessao_juri_complemento";"mov_1st_condenacao_procedente_cod";"mov_1st_condenacao_procedente_descricao";"mov_1st_condenacao_procedente_dataHora";"mov_distribuicao_cancelada_flag";"mov_remessa_count";"mov_remessa_count_invalida";"mov_mudanca_classe_count";"mov_mudanca_classe_count_invalida";"mov_mudanca_classe_codigos";"mov_mudanca_classe_datas";"mov_mudanca_classe_anteriores";"mov_mudanca_classe_novas";"mov_mudanca_classe_complementos";"mov_suspencao_count";"mov_suspencao_count_invalida";"mov_suspencao_complementos";"mov_medida_protetiva_count";"mov_medida_protetiva_count_invalida";"mov_medida_protetiva_complementos";"mov_procedimento_restaurativo_count";"mov_procedimento_restaurativo_count_invalido";"mov_procedimento_restaurativo_complementos";"mov_last_reativacao_cod";"mov_last_reativacao_descricao";"mov_last_reativacao_dataHora";"classesProcessuais"
"processos-tre-ba";"TRE-BA_241_G1_16669_00000011120176050076";"TRE-BA17802202107131626205703396";"TRE-BA";"G1";"True";241;"True";11120176050076;"True";1;"Justiça Eleitoral";"11646, 12046";2;"True";NA;0;20170216152801;20170216152801;"True";1626205703651;20210713164823;16669;"True";2917607;"True";0;2;"True";8;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;0;6;0;NA;4;0;0;NA;0;1;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20170216152801;2017;"";NA;NA;"";NA;NA;NA;"";NA;NA;NA;"246.0";NA;20170220172047;"";"2017.0";"246.0";NA;20170220172047;"";"2017.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20170220172047;2017;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20170220171431;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[241]"
"processos-tre-ba";"TRE-BA_12559_G1_16596_00000011220126050003";"TRE-BA93474202107091625789135354";"TRE-BA";"G1";"True";12559;"True";11220126050003;"True";1;"Justiça Eleitoral";"12360";1;"True";NA;0;20120104161939;20120104161939;"True";1625792142982;20210708215542;16596;"True";2927408;"True";0;2;"True";8;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;0;16;0;NA;6;0;0;NA;0;3;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20120104161939;2012;"";NA;NA;"219.0";NA;2,0120117e+13;2012;"219.0";NA;2,0120117e+13;2012;"246.0";NA;20120327140149;"";"2012.0";"246.0";NA;20190423155924;"";"2019.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20190423155924;2019;1;0;0;0;0;0;"['20120117000000']";0;0;0;0;0;0;1;0;0;0;0;0;"['20120117000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20120316105947;"219.0";NA;2,0120117e+13;NA;NA;NA;NA;"219.0";NA;2,0120117e+13;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[12559]"
"processos-tre-ba";"TRE-BA_12559_G1_16854_00000011620136050152";"TRE-BA93661202107211626837552197";"TRE-BA";"G1";"True";12559;"True";11620136050152;"True";1;"Justiça Eleitoral";"12360";1;"True";NA;0;20130228133343;20130228133343;"True";1626837553113;20210721001913;16854;"True";2910404;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";0;0;0;1;0;12;12;12;12;0;0;0;"M, M, F, M, F, F, F, M, M, M, M, F";0;0;0;0;0;0;0;0;0;0;16;0;NA;10;0;0;NA;0;1;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20130228133343;2013;"";NA;NA;"219.0";NA;2,0130326e+13;2013;"219.0";NA;2,0130326e+13;2013;"246.0";NA;20161019120444;"";"2016.0";"246.0";NA;20161019120444;"";"2016.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20161019120444;2016;1;0;0;0;0;0;"['20130326000000']";0;0;0;0;0;0;1;0;0;0;0;0;"['20130326000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20130319133608;"219.0";NA;2,0130326e+13;NA;NA;NA;NA;"219.0";NA;2,0130326e+13;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[12559]"
"processos-tre-ba";"TRE-BA_11526_G1_30601_00000012620136050084";"TRE-BA28852202107211626840029336";"TRE-BA";"G1";"True";11526;"True";12620136050084;"True";1;"Justiça Eleitoral";"11778";1;"True";NA;0;20130109092847;20130109092847;"True";1626840029673;20210721010029;30601;"True";2924009;"True";0;2;"True";8;"True";1;1;0;0;0;0;1;"D";0;0;0;0;0;2;2;0;0;0;0;2;"D, D";0;0;0;0;0;0;0;0;0;0;165;0;NA;76;0;0;NA;0;20;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:3', '2:tipo_de_distribuicao_redistribuicao:3:prevenção']";20130109092847;2013;"";NA;NA;"219.0";NA;2,014121e+13;2014;"219.0";NA;2,014121e+13;2014;"123.0";NA;20150319145252;"18:motivo_da_remessa:38";"2015.0";"246.0";NA;20150917125913;"";"2015.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20150917125913;2015;2;0;0;0;0;0;"['20141210000000', '20141211135120']";0;0;0;0;0;0;2;0;0;0;0;0;"['20141210000000', '20141211135120']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20150224121258;"219.0";NA;20141211135120;NA;NA;NA;NA;"219.0";NA;2,014121e+13;"False";3;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"849.0";NA;20150917125816;"[11526]"
"processos-tre-ba";"TRE-BA_241_G1_16894_00000014620196050074";"TRE-BA29324202107081625775825513";"TRE-BA";"G1";"True";241;"True";14620196050074;"True";1;"Justiça Eleitoral";"12602";1;"True";NA;0;20190121133233;20190121133233;"True";1625775825723;20210708172345;16894;"True";2923308;"True";0;2;"True";8;"True";3;2;2;2;0;0;0;"F, F";1;1;1;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;0;21;0;NA;11;0;0;NA;0;3;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20190121133233;2019;"";NA;NA;"12652.0";NA;2,0190321e+13;2019;"12652.0";NA;2,0190321e+13;2019;"246.0";NA;20190409141449;"";"2019.0";"246.0";NA;20190409141449;"";"2019.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20190409141449;2019;1;0;1;0;0;0;"['20190321000000']";0;0;0;0;0;0;1;0;1;0;0;0;"['20190321000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20190321164555;"12652.0";NA;2,0190321e+13;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[241]"
"processos-tre-ba";"TRE-BA_11531_G1_16858_00000016120146050158";"TRE-BA53627202107211626837299070";"TRE-BA";"G1";"True";11531;"True";16120146050158;"True";1;"Justiça Eleitoral";"12046";1;"True";NA;0;20140402123751;20140402123751;"True";1626837299812;20210721001459;16858;"True";2927101;"True";0;2;"True";8;"True";1;1;0;0;0;0;1;"D";0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;0;8;0;NA;4;0;0;NA;0;1;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20140402123751;2014;"";NA;NA;"12654.0";NA;2,0150226e+13;2015;"12654.0";NA;2,0150226e+13;2015;"246.0";NA;20150427101118;"";"2015.0";"246.0";NA;20150427101118;"";"2015.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20150427101118;2015;1;0;0;0;0;0;"['20150226000000']";0;0;0;0;0;0;1;0;0;0;0;0;"['20150226000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20150226113707;"12654.0";NA;2,0150226e+13;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11531]"
"processos-tre-ba";"TRE-BA_12549_G1_16633_00000017320166050002";"TRE-BA56052202107211626837830854";"TRE-BA";"G1";"True";12549;"True";17320166050002;"True";1;"Justiça Eleitoral";"11575";1;"True";NA;0;20160119163730;20160119163730;"True";1627020306264;20210723030506;16633;"True";2927408;"True";0;2;"True";8;"True";0;0;0;0;0;0;0;"";0;0;0;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;9;0;NA;3;0;0;NA;0;3;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20160119163730;2016;"";NA;NA;"219.0";NA;2,0160202e+13;2016;"219.0";NA;2,0160202e+13;2016;"246.0";NA;20160224105819;"";"2016.0";"246.0";NA;20160224105828;"";"2016.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20160224105828;2016;3;0;0;0;0;0;"['20160202000000', '20160211172734', '20160224105756']";0;0;0;0;0;0;3;0;0;0;0;0;"['20160202000000', '20160211172734', '20160224105756']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20160211171909;"219.0";NA;20160224105756;NA;NA;NA;NA;"219.0";NA;2,0160202e+13;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[12549]"
"processos-tre-ba";"TRE-BA_12553_G1_30596_00000017720186050075";"TRE-BA96532202107081625778944314";"TRE-BA";"G1";"True";12553;"True";17720186050075;"True";1;"Justiça Eleitoral";"11577, 11778";2;"True";NA;0;20180115085227;20180115085227;"True";1625778944504;20210708181544;30596;"True";2903201;"True";0;2;"True";8;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;0;19;0;NA;8;0;0;NA;0;1;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20180115085228;2018;"";NA;NA;"219.0";NA;2,0180205e+13;2018;"219.0";NA;2,0180205e+13;2018;"246.0";NA;20180308083726;"";"2018.0";"246.0";NA;20180919133840;"";"2018.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20180919133840;2018;1;1;0;0;0;0;"['20180205000000']";0;0;0;0;0;0;1;1;0;0;0;0;"['20180205000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20180207092720;"219.0";NA;2,0180205e+13;NA;NA;NA;NA;"219.0";NA;2,0180205e+13;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11427, 12553]"
"processos-tre-ba";"TRE-BA_1298_G1_30621_00000021720156050124";"TRE-BA57234202107211626839255341";"TRE-BA";"G1";"True";1298;"True";21720156050124;"True";1;"Justiça Eleitoral";"12360";1;"True";NA;0;20150209150320;20150209150320;"True";1626839255764;20210721004735;30621;"True";2909307;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";0;0;0;1;0;1;1;0;0;0;0;1;"D";0;0;0;0;0;0;0;0;0;0;17;0;NA;5;0;0;NA;0;4;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20150209150321;2015;"";NA;NA;"";NA;NA;NA;"";NA;NA;NA;"246.0";NA;20150601092040;"";"2015.0";"246.0";NA;20151202150656;"";"2015.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20151202150656;2015;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20150513094404;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[1298]"
"processos-tre-ba";"TRE-BA_1298_G1_16878_00000025620196050195";"TRE-BA65181202106041622788286927";"TRE-BA";"G1";"True";1298;"True";25620196050195;"True";1;"Justiça Eleitoral";"12360";1;"True";NA;0;2,019043e+13;2,019043e+13;"True";1622788287566;20210604033127;16878;"True";2924405;"True";0;1;"True";1;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;0;22;0;NA;6;0;0;NA;0;2;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2', '2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20190430102800;2019;"";NA;NA;"219.0";NA;2,0191015e+13;2019;"219.0";NA;2,0191015e+13;2019;"246.0";NA;20191209185533;"";"2019.0";"246.0";NA;20200514200039;"";"2020.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;246;NA;20200514200039;2020;1;0;1;0;0;0;"['20191015000000']";0;0;0;0;0;0;1;0;1;0;0;0;"['20191015000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20191209185337;"219.0";NA;2,0191015e+13;NA;NA;NA;NA;"219.0";NA;2,0191015e+13;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[1298]"
